Item Name,Category,Price
Chicken Chat (Chicken and Chickpea Salad),Appetizer,8.90
Samosa Chat (Potatoes and Peas with Yogurt-Tamarind Chutney),Appetizer,7.90
Murg Kathi Roll (Naan Bread Sandwich with Chicken Breast),Appetizer,8.90
Pani Puri (Fried Crispy Balls with Potatoes, Lentils, Chickpeas),Appetizer,7.90
Ratallo Cjaat (Sweet Potato and Pea Patty with Yogurt),Appetizer,7.90
Tandoori Lollipop (Marinated Chicken Drumsticks),Appetizer,7.90
Veggie Manchurian (Fried Potato Balls with Ginger-Garlic),Appetizer,8.90
Vada Pav (2 Pieces of Fried Potato Patties in a Bun),Appetizer,7.90
Palak Papri Chat (Fried Spinach Leaf with Yogurt),Appetizer,7.90
Soya Malai Tikka (Grilled Soy Sausage Marinated in Yogurt-Cream),Appetizer,7.90
Soya Masala Tikka (Tender Soy Sausage in Masala Sauce),Appetizer,7.90
Vegetable Pakora (Fresh Mixed Vegetables),Appetizer,6.90
Onion Ring Pakoras (Spiced and Fried Onion Rings),Appetizer,6.50
Paneer Kathi Kebab (Cream Cheese Marinated in Yogurt with Peppers & Onions),Appetizer,7.90
Chicken Pakora (Tender Fried Chicken),Appetizer,7.90
Chili Chicken Dry (North Indian Chicken Specialty),Appetizer,8.90
Chili Jheenga (North Indian King Prawn Specialty, Spicy),Appetizer,10.90
Vegetable Samosa (2 Pastries Filled with Fresh Vegetables),Appetizer,7.90
Mixed Tandoori Appetizer Platter (Tender Chicken in Various Sauces),Appetizer,8.80
Dal Soup (Indian Lentil Soup),Soup,5.50
Sabzi Soup (Vegetable Soup),Soup,5.50
Mulligatawny Soup (Typical Indian Chicken Soup),Soup,5.90
Tomato Soup (Indian-style Tomato Soup),Soup,5.50
Chicken Tikka (Grilled Chicken Chunks on a Skewer),Main_Dish,16.90
Haryali Malai Tikka (Tender Chicken in Mint and Coriander Marinade),Main_Dish,17.50
Murg Malai Tikka (Chicken Chunks in Cream-Cheese Marinade),Main_Dish,17.50
Seekh Kebab (Freshly Spiced Minced Lamb on a Skewer),Main_Dish,18.90
Tandoori Mixed Grill (Assortment of Various Tandoori Specialties),Main_Dish,21.90
Chicken Curry (Chicken in Traditional Curry Sauce),Main_Dish,15.90
Butter Chicken (Tender Chicken in Tomato-Butter Sauce),Main_Dish,16.90
Chicken Tikka Masala (Grilled Chicken in Rich Spiced Masala Sauce),Main_Dish,16.90
Chicken Korma (Chicken in Mild Cream Sauce with Almonds and Raisins),Main_Dish,16.90
Mango Chicken (Chicken in Tangy Mango Sauce),Main_Dish,16.50
Chicken Saag (Chicken Refined with Indian Spinach),Main_Dish,15.90
Chicken Vindaloo (Chicken with Potatoes in Very Spicy Sauce),Main_Dish,15.90
Lamb Curry (Lamb in Traditional Curry Sauce),Main_Dish,17.90
Lamb Korma (Lamb in Mild Cream Sauce with Almonds),Main_Dish,18.90
Lamb Saag (Lamb with Indian Spinach),Main_Dish,17.90
Rogan Josh (Tender Lamb in Aromatic Spiced Sauce),Main_Dish,17.90
Lamb Vindaloo (Lamb with Potatoes, Very Spicy),Main_Dish,17.90
Dal Makhani (Black Lentils Cooked with Butter and Cream),Main_Dish,13.90
Chana Masala (Chickpeas in Tangy Curry Sauce),Main_Dish,13.90
Aloo Gobbi (Potatoes and Cauliflower Cooked with Spices),Main_Dish,13.90
Palak Paneer (Homemade Cottage Cheese with Indian Spinach),Main_Dish,14.90
Shahi Paneer (Homemade Cottage Cheese in Tomato-Cream Sauce),Main_Dish,14.90
Mattar Paneer (Homemade Cottage Cheese with Peas in Curry Sauce),Main_Dish,14.90
Malai Kofta (Vegetable Dumplings in Mild Cream Sauce),Main_Dish,14.50
Mixed Vegetable Curry (Fresh Seasonal Vegetables in Curry Sauce),Main_Dish,13.90
Vegetables Biryani (Rice Dish with Fresh Mixed Vegetables),Rice,15.50
Tofu Biryani (Organic Tofu with Fresh Vegetables, Vegan),Rice,15.50
Chicken Tikka Biryani (Rice Dish with Chicken, Almonds, and Raisins),Rice,16.50
Lamb Biryani (Rice Dish with Lamb, Almonds, and Raisins),Rice,17.90
Jheenga Biryani (Rice Dish with King Prawns, Almonds, and Raisins),Rice,19.90
Naan (Oval Flatbread made from Yeast Dough),Extras,3.20
Butter Naan (Flatbread Brushed with Butter),Extras,3.80
Garlic Naan (Flatbread with Garlic),Extras,4.20
Cheese Naan (Flatbread Stuffed with Cheese),Extras,4.50
Peshawari Naan (Flatbread with Almonds, Raisins, and Coconut Flakes),Extras,4.90
Roti (Flatbread made from Whole Wheat Flour),Extras,2.90
Raita (Spiced Yogurt with Chopped Cucumbers),Extras,3.90
Mango Kulfi (Homemade Indian Mango Ice Cream),Dessert,5.50
Gulab Jamun (Deep-Fried Milk Dumplings in Sugar Syrup),Dessert,4.90
