Item Name,Category,Price
Beef carpaccio,Appetizer,12.50
Bruschetta,Appetizer,5.90
Small salad plate,Extras,6.00
Large salad plate,Extras,8.50
Beef broth with Maultaschen,Soup,6.20
Wild garlic cream soup with crispy prawn,Soup,6.50
Spätzle (Swabian noodles) with cream sauce,Main_Dish,4.50
Spaghetti with tomato sauce,Main_Dish,4.50
Portion of French fries with ketchup and mayo,Extras,4.50
Chicken dinos with curly fries,Appetizer,8.50
Small breaded schnitzel with French fries,Appetizer,8.50
Fine ribbon noodles(vegetarian),Main_Dish,15.50
Homemade wild garlic gnocchi on creamed cauliflower,Main_Dish,15.80
"Eagle Plate : Fillet of beef, pork and turkey in a rich cream sauce with buttered Spätzle and bread dumpling slices",Main_Dish,23.50
Allgäu cheese Spätzle : with roasted onions and a small salad,Main_Dish,12.90
Swabian lentil stew with homemade Spätzle,Main_Dish,13.90
Pork schnitzel (Vienna style) with French fries,Main_Dish,15.50
Veal schnitzel (unbreaded),Main_Dish,26.50
Pork fillet medallions in pepper cream sauce,Main_Dish,18.50
Roast beef with onions,Main_Dish,29.50
Härtsfeld sour cream roast,Main_Dish,20.50
Pink saddle of lamb fillet,Main_Dish,26.50
Grilled wild salmon fillet,Main_Dish,24.80
Fried prawns,Main_Dish,26.50
Swiss sausage salad with cheese, pickled cucumber, tomato and rye bread,Appetizer,10.50
Emmental cheese salad,Extras,10.50
Fried meatloaf,Appetizer,12.80
Italian Pasta,Main_Dish,8.80
Adler's Currywurst,Appetizer,9.50
Salad variation,Extras,13.90
Baked apple fritters,Dessert,7.20
Oven-fresh apple strudel,Dessert,7.50
Kaiserschmarrn (shredded pancake),Dessert,5.80
Panna cotta with fruit sauces,Dessert,6.50
1 scoop of vanilla ice cream with warm raspberries,Dessert,4.50
1 scoop of lemon sorbet with non-alcoholic spritz,Dessert,4.50
Mixed ice cream with whipped cream,Dessert,5.80
